Time	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
81	-0.0481885	-0.123247	-0.01411	-0.330816	-0.121734	0.144604	0.813964	0.769616	0.633918	0.260522	0.39939	-0.243165	-0.491808	-0.779819	-0.642299	-0.767929	-0.195748
82	-0.2030325	-0.03845	-0.245787	-0.030049	-0.122146	0.159697	0.074899	0.324407	0.615193	0.855702	0.626226	0.297495	0.054005	-0.041559	-0.20527	-0.135868	-0.165947
83	0.2897105	0.425111	0.199992	0.0874	-0.017386	0.114515	-0.055265	-0.062443	-0.155269	-0.555107	-0.676955	-0.615133	-0.36494	0.003289	0.488369	0.897523	0.516054
84	-0.1643745	-0.293471	-0.131926	-0.083456	0.424133	0.325406	1.012722	0.659042	0.848893	0.02248	-0.412867	-0.489026	-0.503332	-0.896146	-0.799274	-0.806013	-0.250099
85	-0.1741255	-0.150489	0.07544	-0.055781	-0.06587	0.302516	0.21614	0.742979	0.506926	0.263138	0.099893	0.038843	-0.514978	-0.717917	-0.826813	-0.710865	-0.473171
86	-0.5615545	-0.471132	-0.074362	-0.55748	-0.396992	-0.024765	0.311386	0.680857	0.511618	0.421915	0.335545	0.162506	-0.219965	-0.649066	-0.47627	-0.862086	-0.166812
87	0.7128565	0.727633	0.441155	0.080911	0.108528	-0.606862	-0.031696	-0.622943	-0.890714	-1.024674	-1.120663	-0.495432	0.248798	0.333932	1.152885	1.040995	0.763835
88	-0.304038	-0.263722	-0.169401	-0.198644	0.058873	0.202307	0.491137	0.514676	0.691778	0.52902	0.493058	0.402325	0.040799	-0.301553	-0.559574	-0.801286	-0.638171
89	-0.208253	-0.24278	-0.345581	-0.354923	-0.098465	0.381782	0.707108	0.765875	0.982096	0.395526	0.102621	-0.173457	-0.618197	-0.670546	-1.149683	-0.61489	-0.422199
90	0.760642	0.753989	0.732949	0.309616	0.305805	0.326359	0.298534	0.152895	-0.058488	-0.057014	-0.209202	-0.47029	-0.544636	-0.466343	0.011661	0.114415	0.345881
91	-0.5845505	-0.586053	-0.549672	-0.518282	-0.047669	0.316417	0.589639	0.748816	0.66137	0.608656	0.654916	0.154388	0.027219	-0.309699	-0.428975	-0.970777	-0.135882
92	0.488377	0.49855	0.224131	0.094969	-0.078303	-0.273695	-0.662443	-0.675284	-0.795782	-0.537082	-0.62703	-0.576385	-0.521518	-0.250949	0.251555	0.534301	0.446469
93	0.0667705	0.145592	-0.157038	-0.269635	-0.891908	-0.576541	-1.193221	-0.88213	-1.337554	-0.949419	-0.686747	-0.372252	-0.346321	0.080147	0.1218	0.571313	0.44266
94	-0.6875605	-0.634763	-0.854461	-0.736819	0.179088	0.777608	0.9446	0.819831	0.555997	0.053947	0.10164	-0.555809	-0.728034	-0.754788	-0.725791	-0.539544	-0.265628
95	0.12761	0.122818	0.128863	0.432903	0.269328	0.669589	0.809429	0.558447	0.514159	0.182674	-0.073742	-0.178731	-0.841752	-0.699658	-0.598382	-0.112241	-0.502345
96	0.4145435	0.434447	0.332153	0.108755	-0.236801	-0.256283	-0.548305	-0.520457	-0.896931	-0.621503	-0.553056	-0.307801	-0.387607	-0.076184	-0.014139	0.447726	0.603297
97	-0.1442435	-0.218259	-0.152878	-0.145866	0.276399	0.362896	0.546659	0.898459	0.914744	0.277576	-0.036543	-0.171866	-0.625663	-0.831234	-0.78604	-0.610085	-0.625292
98	0.730598	0.925654	0.697454	0.486446	-0.230659	0.112173	0.02583	-0.054382	-0.134512	-0.395307	-0.515286	-0.279241	-0.658995	-0.185481	-0.528456	0.185721	0.045986
